,Document Title,Authors,Abstract,Article Citation Count,Publication Year,DOI,Terms
0,Development of a deep learning method for CT-free correction for an ultra-long axial field of view PET scanner,S. Xue; K. P. Bohn; R. Guo; H. Sari; M. Viscione; A. Rominger; B. Li; K. Shi,"Introduction: The possibility of low-dose positron emission tomography (PET) imaging using high sensitivity long axial field of view (FOV) PET/computed tomography (CT) scanners makes CT a critical radiation burden in clinical applications. Artificial intelligence has shown the potential to generate PET images from non-corrected PET images. Our aim in this work is to develop a CT-free correction for a long axial FOV PET scanner. Methods: Whole body PET images of 165 patients scanned with a digital regular FOV PET scanner (Biograph Vision 600 (Siemens Healthineers) in Shanghai and Bern) was included for the development and testing of the deep learning methods. Furthermore, the developed algorithm was tested on data of 7 patients scanned with a long axial FOV scanner (Biograph Vision Quadra, Siemens Healthineers). A 2D generative adversarial network (GAN) was developed featuring a residual dense block, which enables the model to fully exploit hierarchical features from all network layers. The normalized root mean squared error (NRMSE) and peak signal-to-noise ratio (PSNR), were calculated to evaluate the results generated by deep learning. Results: The preliminary results showed that, the developed deep learning method achieved an average NRMSE of 0.4±0.3% and PSNR of 51.4±6.4 for the test on Biograph Vision, and an average NRMSE of 0.5±0.4% and PSNR of 47.9±9.4 for the validation on Biograph Vision Quadra, after applied transfer learning. Conclusion: The developed deep learning method shows the potential for CT-free AI-correction for a long axial FOV PET scanner. Work in progress includes clinical assessment of PET images by independent nuclear medicine physicians. Training and fine-tuning with more datasets will be performed to further consolidate the development.",,2021,10.1109/EMBC46164.2021.9630590,attenuation correction
0,Development of a deep learning method for CT-free correction for an ultra-long axial field of view PET scanner,S. Xue; K. P. Bohn; R. Guo; H. Sari; M. Viscione; A. Rominger; B. Li; K. Shi,"Introduction: The possibility of low-dose positron emission tomography (PET) imaging using high sensitivity long axial field of view (FOV) PET/computed tomography (CT) scanners makes CT a critical radiation burden in clinical applications. Artificial intelligence has shown the potential to generate PET images from non-corrected PET images. Our aim in this work is to develop a CT-free correction for a long axial FOV PET scanner. Methods: Whole body PET images of 165 patients scanned with a digital regular FOV PET scanner (Biograph Vision 600 (Siemens Healthineers) in Shanghai and Bern) was included for the development and testing of the deep learning methods. Furthermore, the developed algorithm was tested on data of 7 patients scanned with a long axial FOV scanner (Biograph Vision Quadra, Siemens Healthineers). A 2D generative adversarial network (GAN) was developed featuring a residual dense block, which enables the model to fully exploit hierarchical features from all network layers. The normalized root mean squared error (NRMSE) and peak signal-to-noise ratio (PSNR), were calculated to evaluate the results generated by deep learning. Results: The preliminary results showed that, the developed deep learning method achieved an average NRMSE of 0.4±0.3% and PSNR of 51.4±6.4 for the test on Biograph Vision, and an average NRMSE of 0.5±0.4% and PSNR of 47.9±9.4 for the validation on Biograph Vision Quadra, after applied transfer learning. Conclusion: The developed deep learning method shows the potential for CT-free AI-correction for a long axial FOV PET scanner. Work in progress includes clinical assessment of PET images by independent nuclear medicine physicians. Training and fine-tuning with more datasets will be performed to further consolidate the development.",,2021,10.1109/EMBC46164.2021.9630590,nuclear medicine
0,Development of a deep learning method for CT-free correction for an ultra-long axial field of view PET scanner,S. Xue; K. P. Bohn; R. Guo; H. Sari; M. Viscione; A. Rominger; B. Li; K. Shi,"Introduction: The possibility of low-dose positron emission tomography (PET) imaging using high sensitivity long axial field of view (FOV) PET/computed tomography (CT) scanners makes CT a critical radiation burden in clinical applications. Artificial intelligence has shown the potential to generate PET images from non-corrected PET images. Our aim in this work is to develop a CT-free correction for a long axial FOV PET scanner. Methods: Whole body PET images of 165 patients scanned with a digital regular FOV PET scanner (Biograph Vision 600 (Siemens Healthineers) in Shanghai and Bern) was included for the development and testing of the deep learning methods. Furthermore, the developed algorithm was tested on data of 7 patients scanned with a long axial FOV scanner (Biograph Vision Quadra, Siemens Healthineers). A 2D generative adversarial network (GAN) was developed featuring a residual dense block, which enables the model to fully exploit hierarchical features from all network layers. The normalized root mean squared error (NRMSE) and peak signal-to-noise ratio (PSNR), were calculated to evaluate the results generated by deep learning. Results: The preliminary results showed that, the developed deep learning method achieved an average NRMSE of 0.4±0.3% and PSNR of 51.4±6.4 for the test on Biograph Vision, and an average NRMSE of 0.5±0.4% and PSNR of 47.9±9.4 for the validation on Biograph Vision Quadra, after applied transfer learning. Conclusion: The developed deep learning method shows the potential for CT-free AI-correction for a long axial FOV PET scanner. Work in progress includes clinical assessment of PET images by independent nuclear medicine physicians. Training and fine-tuning with more datasets will be performed to further consolidate the development.",,2021,10.1109/EMBC46164.2021.9630590,psnr
0,Development of a deep learning method for CT-free correction for an ultra-long axial field of view PET scanner,S. Xue; K. P. Bohn; R. Guo; H. Sari; M. Viscione; A. Rominger; B. Li; K. Shi,"Introduction: The possibility of low-dose positron emission tomography (PET) imaging using high sensitivity long axial field of view (FOV) PET/computed tomography (CT) scanners makes CT a critical radiation burden in clinical applications. Artificial intelligence has shown the potential to generate PET images from non-corrected PET images. Our aim in this work is to develop a CT-free correction for a long axial FOV PET scanner. Methods: Whole body PET images of 165 patients scanned with a digital regular FOV PET scanner (Biograph Vision 600 (Siemens Healthineers) in Shanghai and Bern) was included for the development and testing of the deep learning methods. Furthermore, the developed algorithm was tested on data of 7 patients scanned with a long axial FOV scanner (Biograph Vision Quadra, Siemens Healthineers). A 2D generative adversarial network (GAN) was developed featuring a residual dense block, which enables the model to fully exploit hierarchical features from all network layers. The normalized root mean squared error (NRMSE) and peak signal-to-noise ratio (PSNR), were calculated to evaluate the results generated by deep learning. Results: The preliminary results showed that, the developed deep learning method achieved an average NRMSE of 0.4±0.3% and PSNR of 51.4±6.4 for the test on Biograph Vision, and an average NRMSE of 0.5±0.4% and PSNR of 47.9±9.4 for the validation on Biograph Vision Quadra, after applied transfer learning. Conclusion: The developed deep learning method shows the potential for CT-free AI-correction for a long axial FOV PET scanner. Work in progress includes clinical assessment of PET images by independent nuclear medicine physicians. Training and fine-tuning with more datasets will be performed to further consolidate the development.",,2021,10.1109/EMBC46164.2021.9630590,biographies
0,Development of a deep learning method for CT-free correction for an ultra-long axial field of view PET scanner,S. Xue; K. P. Bohn; R. Guo; H. Sari; M. Viscione; A. Rominger; B. Li; K. Shi,"Introduction: The possibility of low-dose positron emission tomography (PET) imaging using high sensitivity long axial field of view (FOV) PET/computed tomography (CT) scanners makes CT a critical radiation burden in clinical applications. Artificial intelligence has shown the potential to generate PET images from non-corrected PET images. Our aim in this work is to develop a CT-free correction for a long axial FOV PET scanner. Methods: Whole body PET images of 165 patients scanned with a digital regular FOV PET scanner (Biograph Vision 600 (Siemens Healthineers) in Shanghai and Bern) was included for the development and testing of the deep learning methods. Furthermore, the developed algorithm was tested on data of 7 patients scanned with a long axial FOV scanner (Biograph Vision Quadra, Siemens Healthineers). A 2D generative adversarial network (GAN) was developed featuring a residual dense block, which enables the model to fully exploit hierarchical features from all network layers. The normalized root mean squared error (NRMSE) and peak signal-to-noise ratio (PSNR), were calculated to evaluate the results generated by deep learning. Results: The preliminary results showed that, the developed deep learning method achieved an average NRMSE of 0.4±0.3% and PSNR of 51.4±6.4 for the test on Biograph Vision, and an average NRMSE of 0.5±0.4% and PSNR of 47.9±9.4 for the validation on Biograph Vision Quadra, after applied transfer learning. Conclusion: The developed deep learning method shows the potential for CT-free AI-correction for a long axial FOV PET scanner. Work in progress includes clinical assessment of PET images by independent nuclear medicine physicians. Training and fine-tuning with more datasets will be performed to further consolidate the development.",,2021,10.1109/EMBC46164.2021.9630590,scatter correction
0,Development of a deep learning method for CT-free correction for an ultra-long axial field of view PET scanner,S. Xue; K. P. Bohn; R. Guo; H. Sari; M. Viscione; A. Rominger; B. Li; K. Shi,"Introduction: The possibility of low-dose positron emission tomography (PET) imaging using high sensitivity long axial field of view (FOV) PET/computed tomography (CT) scanners makes CT a critical radiation burden in clinical applications. Artificial intelligence has shown the potential to generate PET images from non-corrected PET images. Our aim in this work is to develop a CT-free correction for a long axial FOV PET scanner. Methods: Whole body PET images of 165 patients scanned with a digital regular FOV PET scanner (Biograph Vision 600 (Siemens Healthineers) in Shanghai and Bern) was included for the development and testing of the deep learning methods. Furthermore, the developed algorithm was tested on data of 7 patients scanned with a long axial FOV scanner (Biograph Vision Quadra, Siemens Healthineers). A 2D generative adversarial network (GAN) was developed featuring a residual dense block, which enables the model to fully exploit hierarchical features from all network layers. The normalized root mean squared error (NRMSE) and peak signal-to-noise ratio (PSNR), were calculated to evaluate the results generated by deep learning. Results: The preliminary results showed that, the developed deep learning method achieved an average NRMSE of 0.4±0.3% and PSNR of 51.4±6.4 for the test on Biograph Vision, and an average NRMSE of 0.5±0.4% and PSNR of 47.9±9.4 for the validation on Biograph Vision Quadra, after applied transfer learning. Conclusion: The developed deep learning method shows the potential for CT-free AI-correction for a long axial FOV PET scanner. Work in progress includes clinical assessment of PET images by independent nuclear medicine physicians. Training and fine-tuning with more datasets will be performed to further consolidate the development.",,2021,10.1109/EMBC46164.2021.9630590,transfer learning
0,Development of a deep learning method for CT-free correction for an ultra-long axial field of view PET scanner,S. Xue; K. P. Bohn; R. Guo; H. Sari; M. Viscione; A. Rominger; B. Li; K. Shi,"Introduction: The possibility of low-dose positron emission tomography (PET) imaging using high sensitivity long axial field of view (FOV) PET/computed tomography (CT) scanners makes CT a critical radiation burden in clinical applications. Artificial intelligence has shown the potential to generate PET images from non-corrected PET images. Our aim in this work is to develop a CT-free correction for a long axial FOV PET scanner. Methods: Whole body PET images of 165 patients scanned with a digital regular FOV PET scanner (Biograph Vision 600 (Siemens Healthineers) in Shanghai and Bern) was included for the development and testing of the deep learning methods. Furthermore, the developed algorithm was tested on data of 7 patients scanned with a long axial FOV scanner (Biograph Vision Quadra, Siemens Healthineers). A 2D generative adversarial network (GAN) was developed featuring a residual dense block, which enables the model to fully exploit hierarchical features from all network layers. The normalized root mean squared error (NRMSE) and peak signal-to-noise ratio (PSNR), were calculated to evaluate the results generated by deep learning. Results: The preliminary results showed that, the developed deep learning method achieved an average NRMSE of 0.4±0.3% and PSNR of 51.4±6.4 for the test on Biograph Vision, and an average NRMSE of 0.5±0.4% and PSNR of 47.9±9.4 for the validation on Biograph Vision Quadra, after applied transfer learning. Conclusion: The developed deep learning method shows the potential for CT-free AI-correction for a long axial FOV PET scanner. Work in progress includes clinical assessment of PET images by independent nuclear medicine physicians. Training and fine-tuning with more datasets will be performed to further consolidate the development.",,2021,10.1109/EMBC46164.2021.9630590,ct-free
1,Novel deep learning-based CT synthesis algorithm for MRI-guided PET attenuation correction in brain PET/MR imaging,H. Arabi; G. Zeng; G. Zheng; H. Zaidi,"MRI-guided synthetic CT (sCT) generation is one of the main challenges hampering quantitative PET/MR imaging as well as MRI-only radiation planning. Deep learning-based approaches have recently gained momentum in a variety of medical imaging applications. In this work, a novel synthetic CT generation algorithm based on deep convolutional neural network is proposed for MRI-guided attenuation correction in PET/MRI. The proposed algorithm (AsCT) exploits adversarial semantic structure learning implemented as a CT segmentation approach to constrain the adversarial synthetic CT generation process. The proposed technique was trained using 50 pairs of CT and MR brain scans under a two-fold<sup>1</sup> cross validation scheme. The AsCT method was compared to an atlas-based method (Bone-Atl), previously developed for MRI-only radiation planning, as well as the commercial segmentation-based approach (2-class) implemented on the Philips TF PET/MRI system. The evaluation was performed using clinical brain studies of 40 patients who have undergone PET/CT and MRI scanning. The accuracy of the CT value estimation and cortical bone identification were assessed for the three different methods taking CT images as reference. Bias of tracer uptake (SUV) was measured on attenuation corrected PET images using the three techniques taking CT-based attenuation corrected PET as reference. Bone-Atl and AsCT exhibited similar cortical bone extraction (using an intensity threshold of 600 Hounsfield Unit (HU)) resulting in Dice coefficient (DSC) of 0.78±0.07 and 0.77±0.07, respectively. Bone-Atl method performed slightly better in terms of accuracy of CT value estimation where a mean absolute error of 123±40 (HU) was obtained for the whole head region while AsCT and 2-class methods led to 141±40 and 230±33 (HU), respectively. Quantitative analysis of brain PET images demonstrated competitive performance of AsCT and Bone-Atl methods where mean relative errors of 1.2±13.8% and 1.0±9.9% were achieved in bony structures, respectively, while the 2-class approach led to a mean SUV error of -14.7±8.9%. The proposed AsCT algorithm showed competitive performance with respect to the atlas-based method and outperformed the segmentation-based (2-class) method with clinically tolerable errors.",,2018,10.1109/NSSMIC.2018.8824733,bones
1,Novel deep learning-based CT synthesis algorithm for MRI-guided PET attenuation correction in brain PET/MR imaging,H. Arabi; G. Zeng; G. Zheng; H. Zaidi,"MRI-guided synthetic CT (sCT) generation is one of the main challenges hampering quantitative PET/MR imaging as well as MRI-only radiation planning. Deep learning-based approaches have recently gained momentum in a variety of medical imaging applications. In this work, a novel synthetic CT generation algorithm based on deep convolutional neural network is proposed for MRI-guided attenuation correction in PET/MRI. The proposed algorithm (AsCT) exploits adversarial semantic structure learning implemented as a CT segmentation approach to constrain the adversarial synthetic CT generation process. The proposed technique was trained using 50 pairs of CT and MR brain scans under a two-fold<sup>1</sup> cross validation scheme. The AsCT method was compared to an atlas-based method (Bone-Atl), previously developed for MRI-only radiation planning, as well as the commercial segmentation-based approach (2-class) implemented on the Philips TF PET/MRI system. The evaluation was performed using clinical brain studies of 40 patients who have undergone PET/CT and MRI scanning. The accuracy of the CT value estimation and cortical bone identification were assessed for the three different methods taking CT images as reference. Bias of tracer uptake (SUV) was measured on attenuation corrected PET images using the three techniques taking CT-based attenuation corrected PET as reference. Bone-Atl and AsCT exhibited similar cortical bone extraction (using an intensity threshold of 600 Hounsfield Unit (HU)) resulting in Dice coefficient (DSC) of 0.78±0.07 and 0.77±0.07, respectively. Bone-Atl method performed slightly better in terms of accuracy of CT value estimation where a mean absolute error of 123±40 (HU) was obtained for the whole head region while AsCT and 2-class methods led to 141±40 and 230±33 (HU), respectively. Quantitative analysis of brain PET images demonstrated competitive performance of AsCT and Bone-Atl methods where mean relative errors of 1.2±13.8% and 1.0±9.9% were achieved in bony structures, respectively, while the 2-class approach led to a mean SUV error of -14.7±8.9%. The proposed AsCT algorithm showed competitive performance with respect to the atlas-based method and outperformed the segmentation-based (2-class) method with clinically tolerable errors.",,2018,10.1109/NSSMIC.2018.8824733,attenuation
2,Contrast CT image generation model using CT image of PET/CT,W. Kim; S. -K. Woo; J. Park; H. Sheen; I. Lim; S. M. Lim; B. Hyun Byun,"Contrast CT imaging is a useful method to highlight structures such as blood vessels and tissue. The aim of this study was to generate contrast enhanced CT image for defining region of blood vessels and tumor from PET/CT image using deep learning approach. The deep learning approach in this study was based on conditional generative adversarial network (cGAN). The structure of cGAN composed of two convolutional neural network (CNN), generator and discriminator. Generator was trained to generate contrast CT (G-CCT) image from CT image which cannot be discriminated from the original contrast CT (CCT) image. Discriminator was trained to discriminate CCT image from G-CCT image by generator. To improve the generation performance of the model, we applied adaptive histogram equalization as image preprocessing. We compare the model trained with CT and the model with histogram equalized CT. Structural similarity index measurement (SSIM) was calculated to measure the similarity between G-CCT and CCT image. We defined and compared the region of lymphoma in left upper cervical lymph node level 2 using CT, CCT, and G-CCT. Detect the lymph node cancer was calculated by short to long axis ratio (S/L) method. In the case of the model trained with CT, SSIM was 0.9493±0.0183 in training phase and 0.9055±0.0484 in testing phase. In the case of the model trained with histogram equalized CT, SSIM was 0.954±0.0149 in training phase and 0.9081±0.047 in testing phase. G-CCT images showed more enhanced contrast in blood vessels and tumor region than CT image. Lymph node cancer S/L of CT, CCT, and G-CCT were 0.412, 0.395, and 0.397, respectively. The tumor S/L of generated contrast CT image was evaluated similar to these of real contrast CT image. This contrast CT image generation based on deep learning is helped for a cost-effective and less-hazardous process of acquiring contrast CT image to patients as well as more anatomical information with only CT scan.",,2018,10.1109/NSSMIC.2018.8824278,ct
